XTAB	smoking	thap	Medium	292
XTAB	smoking	trungbinh	High	29
XTAB	smoking	trungbinh	Low	70
XTAB	smoking	trungbinh	Medium	30
XTAB	snoring	cao	High	10
XTAB	snoring	thap	High	239
XTAB	snoring	thap	Low	262
XTAB	snoring	thap	Medium	180
XTAB	snoring	trungbinh	High	116
XTAB	snoring	trungbinh	Low	41
XTAB	snoring	trungbinh	Medium	152
XTAB	swallowing_difficulty	cao	High	79
XTAB	swallowing_difficulty	cao	Low	10
XTAB	swallowing_difficulty	cao	Medium	50
XTAB	swallowing_difficulty	thap	High	128
XTAB	swallowing_difficulty	thap	Low	223
XTAB	swallowing_difficulty	thap	Medium	120
XTAB	swallowing_difficulty	trungbinh	High	158
XTAB	swallowing_difficulty	trungbinh	Low	70
XTAB	swallowing_difficulty	trungbinh	Medium	162
XTAB	weight_loss	cao	High	110
XTAB	weight_loss	cao	Low	10
XTAB	weight_loss	cao	Medium	120
XTAB	weight_loss	thap	High	158
XTAB	weight_loss	thap	Low	242
XTAB	weight_loss	thap	Medium	151
XTAB	weight_loss	trungbinh	High	97
XTAB	weight_loss	trungbinh	Low	51
XTAB	weight_loss	trungbinh	Medium	61
XTAB	wheezing	cao	High	109
XTAB	wheezing	cao	Medium	40
XTAB	wheezing	thap	High	198
XTAB	wheezing	thap	Low	221
XTAB	wheezing	thap	Medium	30
XTAB	wheezing	trungbinh	High	58
XTAB	wheezing	trungbinh	Low	82
XTAB	wheezing	trungbinh	Medium	262
